species,id,status
calpocalyx_heitzii,33186,Vulnerable
calpocalyx_klainei,36477,Least Concern
calpocalyx_ngouniensis,36479,Least Concern
calycosiphonia_macrochlamys,45907,Vulnerable
calycosiphonia_spathicalyx,156104976,Least Concern
camptostylus_mannii,143657073,Least Concern
campylospermum_amplectens,34810,Vulnerable
campylospermum_congestum,,
campylospermum_densiflorum,116864664,Least Concern
campylospermum_dybovskii,116868548,Least Concern
campylospermum_elongatum,116868570,Least Concern
campylospermum_engama,,
campylospermum_flavum,116868721,Least Concern
campylospermum_glaberrimum,,
campylospermum_mannii,,
campylospermum_oliveri,116869233,Least Concern
campylospermum_reticulatum,,
campylospermum_schoenleinianum,116869293,Least Concern
campylospermum_squamosum,116869310,Least Concern
campylospermum_sulcatum,116869342,Least Concern
campylospermum_vogelii,63073,Least Concern
canarium_schweinfurtii,,
capparis_viminea,158380,Least Concern
capparis_viminea,180011,Critically Endangered
carapa_dinklagei,,
carapa_macrantha,204815795,Least Concern
carapa_parviflora,204812854,Least Concern
carapa_procera,61794032,Least Concern
carpolobia_alba,143656408,Least Concern
carpolobia_gossweileri,,
carpolobia_lutea,136101986,Least Concern
casearia_barteri,34230,Least Concern
casearia_prismatocarpa,,
casearia_stipitata,,
cassia_mannii,,
cassia_sieberiana,144280984,Least Concern
cassipourea_barteri,143724088,Least Concern
cassipourea_congoensis,,
cassipourea_gummiflua,61957203,Least Concern
cassipourea_gummiflua,137744508,Critically Endangered
cassipourea_hiotou,32216,Vulnerable
cassipourea_schizocalyx,,
catunaregam_nilotica,,
cavacoa_quintasii,204815983,Least Concern
celtis_adolfi-friderici,61987953,Least Concern
celtis_africana,,
celtis_gomphophylla,165428374,Least Concern
celtis_mildbraedii,61987986,Least Concern
celtis_philippensis,61988008,Least Concern
celtis_tessmannii,204679072,Least Concern
celtis_toka,144137137,Least Concern
celtis_zenkeri,61988117,Least Concern
centroplacus_glaucinus,143872680,Least Concern
chaetachme_aristata,146436141,Least Concern
chaetocarpus_africanus,143724005,Least Concern
chazaliella_coffeosperma,,
chidlowia_sanguinea,144259233,Least Concern
christiana_africana,165428478,Least Concern
chrysobalanus_icaco,72231760,Least Concern
chytranthus_angustifolius,143717056,Least Concern
chytranthus_atroviolaceus,,
chytranthus_carneus,143715077,Least Concern
chytranthus_cauliflorus,170065021,Least Concern
chytranthus_edulis,,
chytranthus_gilletii,,
chytranthus_klaineanus,,
chytranthus_macrobotrys,143721728,Least Concern
chytranthus_setosus,,
chytranthus_talbotii,170065098,Least Concern
citropsis_articulata,,
clappertonia_ficifolia,,
clausena_anisata,146453629,Least Concern
cleidion_gabonicum,154431142,Least Concern
cleistanthus_caudatus,,
cleistanthus_gabonensis,204812786,Least Concern
cleistanthus_itsoghensis,204799320,Least Concern
cleistanthus_letouzeyi,,
cleistanthus_libericus,174410340,Least Concern
cleistanthus_ngounyensis,204816113,Least Concern
cleistanthus_polystachyus,146203781,Least Concern
cleistopholis_glauca,61984554,Least Concern
cleistopholis_patens,61984634,Least Concern
cleistopholis_staudtii,45417,Least Concern
clerodendrum_cephalanthum,157967,Least Concern
clerodendrum_cephalanthum,158429,Least Concern
clerodendrum_cephalanthum,158444,Least Concern
clerodendrum_cephalanthum,158452,Least Concern
clerodendrum_formicarum,153944092,Least Concern
clerodendrum_poggei,,
coelocaryon_botryoides,,
coelocaryon_preussii,61890295,Least Concern
coffea_brevipes,18290165,Least Concern
coffea_canephora,18290186,Least Concern
coffea_ebracteolata,18537189,Least Concern
coffea_liberica,18537594,Least Concern
coffea_magnistipula,18538124,Least Concern
coffea_mannii,18538250,Least Concern
coffea_mayombensis,18538396,Least Concern
coffea_togoensis,34655,Endangered
cola_acuminata,111376285,Least Concern
cola_altissima,111385279,Least Concern
cola_argentea,111385371,Near Threatened
cola_ballayi,111385511,Least Concern
cola_caricifolia,111386216,Least Concern
cola_cauliflora,111390705,Least Concern
cola_chlamydantha,111390810,Least Concern
cola_cordifolia,111391656,Least Concern
cola_digitata,111391828,Least Concern
cola_ficifolia,111392484,Least Concern
cola_flavovelutina,111392622,Least Concern
cola_gabonensis,,
cola_gigantea,111392774,Least Concern
cola_gigantea,130052128,Least Concern
cola_gigantea,130052145,Least Concern
cola_griseiflora,111393012,Least Concern
cola_heterophylla,111393038,Least Concern
cola_hispida,,
cola_lateritia,111393967,Least Concern
cola_lateritia,130052168,Least Concern
cola_lateritia,130052185,Least Concern
cola_laurifolia,111394673,Least Concern
cola_lepidota,111394726,Least Concern
cola_lissachensis,,
cola_mahoundensis,111395374,Vulnerable
cola_marsupium,111395388,Least Concern
cola_nitida,111397303,Least Concern
cola_pachycarpa,111397554,Least Concern
cola_reticulata,34656,Vulnerable
cola_rostrata,111397976,Least Concern
cola_semecarpophylla,34771,Conservation Dependent
cola_umbratilis,32191,Vulnerable
cola_urceolata,,
cola_verticillata,,
colletoecema_dewevrei,143712105,Least Concern
combretum_aculeatum,144311379,Least Concern
combretum_adenogonium,146209651,Least Concern
combretum_bracteatum,143714683,Least Concern
combretum_collinum,144277375,Least Concern
combretum_glutinosum,144270735,Least Concern
combretum_marginatum,,
combretum_micranthum,144287358,Least Concern
combretum_molle,146216670,Least Concern
combretum_platypterum,147041379,Least Concern
commiphora_africana,146216386,Least Concern
conocarpus_erectus,178806,Least Concern
copaifera_mildbraedii,62021772,Least Concern
copaifera_religiosa,62021830,Vulnerable
copaifera_salikounda,33041,Vulnerable
cordia_africana,61986332,Least Concern
cordia_aurantiaca,143656104,Least Concern
cordia_guineensis,158035,Least Concern
cordia_guineensis,158428,Endangered
cordia_millenii,33042,Least Concern
cordia_platythyrsa,33043,Vulnerable
cordia_senegalensis,147036001,Least Concern
cordyla_pinnata,144299985,Least Concern
corynanthe_johimbe,143712526,Least Concern
corynanthe_lane-poolei,,
corynanthe_macroceras,143710961,Least Concern
corynanthe_mayumbensis,143714784,Least Concern
corynanthe_pachyceras,136113695,Least Concern
corynanthe_paniculata,,
coula_edulis,61918215,Least Concern
craibia_atlantica,34658,Vulnerable
craibia_laurentii,173478461,Least Concern
crateranthus_talbotii,32706,Vulnerable
craterispermum_aristatum,,
craterispermum_caudatum,136113957,Least Concern
craterispermum_cerinanthum,191512672,Least Concern
craterispermum_laurinum,,
craterispermum_ledermannii,,
craterispermum_montanum,,
craterispermum_parvifolium,,
craterispermum_robbrechtianum,,
craterispermum_schweinfurthii,146220635,Least Concern
crateva_adansonii,144035295,Least Concern
cremaspora_triflora,146203473,Least Concern
crioceras_dipladeniiflorus,,
crossopteryx_febrifuga,146203214,Least Concern
croton_draconopsis,,
croton_gratissimus,146220792,Least Concern
croton_longiracemosus,,
croton_macrostachyus,146216193,Least Concern
croton_mayumbensis,203236451,Least Concern
croton_mubango,,
croton_oligandrus,204816446,Least Concern
croton_pseudopulchellus,,
croton_sylvaticus,146440274,Least Concern
crotonogyne_gabunensis,170124209,Least Concern
crotonogyne_manniana,35152,Near Threatened
crotonogyne_poggei,,
crotonogyne_preussii,,
crotonogyne_zenkeri,45450,Vulnerable
crudia_gabonensis,204799222,Least Concern
crudia_harmsiana,137523873,Least Concern
crudia_harmsiana,137523929,Least Concern
crudia_harmsiana,137523989,Least Concern
crudia_klainei,144270361,Least Concern
crudia_ledermannii,204799148,Least Concern
crudia_senegalensis,208171484,Least Concern
cryptosepalum_congolanum,204799076,Least Concern
cryptosepalum_staudtii,173500809,Near Threatened
cryptosepalum_tetraphyllum,33465,Vulnerable
cussonia_arborea,146215976,Least Concern
cussonia_bancoensis,33894,Vulnerable
cuviera_acutiflora,136114058,Least Concern
cuviera_angolensis,,
cuviera_longiflora,,
cuviera_macroura,,
cuviera_nigrescens,208173809,Least Concern
cuviera_physinodes,,
cuviera_subuliflora,,
cuviera_talbotii,45911,Vulnerable
cylicodiscus_gabunensis,62021855,Least Concern
cylicomorpha_solmsii,45439,Near Threatened
cynometra_ananta,62021882,Least Concern
cynometra_hankei,19892945,Least Concern
cynometra_lujae,173500841,Least Concern
cynometra_mannii,144278111,Least Concern
cynometra_megalophylla,144312026,Least Concern
cynometra_sanagaensis,204802792,Least Concern
cynometra_schlechteri,204816648,Least Concern
cynometra_vogelii,144254295,Least Concern
cyrtogonone_argentea,204815309,Least Concern
dacryodes_buettneri,61987674,Vulnerable
dacryodes_edulis,,
dacryodes_heterotricha,204816714,Least Concern
dacryodes_igaganga,32182,Vulnerable
dacryodes_klaineana,136112754,Least Concern
dacryodes_macrophylla,204809541,Least Concern
dacryodes_normandii,204809473,Least Concern
dactyladenia_barteri,204714772,Least Concern
dactyladenia_campestris,143656434,Least Concern
dactyladenia_chevalieri,204715052,Least Concern
dactyladenia_dinklagei,34836,Vulnerable
dactyladenia_icondere,204715125,Least Concern
dactyladenia_letestui,173369681,Least Concern
dactyladenia_pallescens,143656500,Least Concern
dactyladenia_staudtii,173411398,Least Concern
dalbergia_bakeri,163331269,Least Concern
dalbergia_heudelotii,156102960,Least Concern
dalbergia_laxiflora,163331904,Least Concern
dalbergia_melanoxylon,32504,Near Threatened
dalbergia_oligophylla,45882,Least Concern
daniellia_klainei,32184,Least Concern
daniellia_ogea,62022647,Near Threatened
daniellia_pynaertii,168732881,Least Concern
daniellia_soyauxii,168732966,Near Threatened
daniellia_thurifera,62023081,Least Concern
dasylepis_blackii,173333240,Endangered
dasylepis_racemosa,144137605,Least Concern
dasylepis_seretii,,
dasylepis_thomasii,,
deinbollia_cuneifolia,,
deinbollia_fulvotomentella,,
deinbollia_grandifolia,,
deinbollia_maxima,46178,Vulnerable
delpydora_gracilis,154664035,Least Concern
delpydora_macrophylla,32090,Vulnerable
desbordesia_glaucescens,,
desplatsia_chrysochlamys,156111205,Least Concern
desplatsia_dewevrei,144289483,Least Concern
desplatsia_subericarpa,143711191,Least Concern
detarium_macrocarpum,62023128,Least Concern
detarium_senegalense,62023169,Least Concern
dialium_bipindense,33185,Least Concern
dialium_dinklagei,62023178,Least Concern
dialium_englerianum,146197100,Least Concern
dialium_guineense,204813231,Least Concern
dialium_lopense,37495,Least Concern
dialium_pachyphyllum,144306563,Least Concern
dialium_polyanthum,144272728,Least Concern
dialium_tessmannii,144298050,Least Concern
dichaetanthera_africana,204809363,Least Concern
dichaetanthera_corymbosa,153944408,Least Concern
dichapetalum_barteri,204670886,Least Concern
dichapetalum_fructuosum,,
